01001020100,83486
01001020200,66336
01001020300,69701
01001020400,73037
01001020500,90362
01001020600,90627
01001020700,78142
01001020801,104135
01001020802,80391
01001020900,67125
01001021000,64130
01001021100,52790
01003010100,65415
01003010200,49003
01003010300,76230
01003010400,90352
01003010500,78782
01003010600,45375
01003010701,104500
01003010703,104075
01003010704,97922
01003010705,75777
01003010800,103769
01003010903,68963
01003010904,63141
01003010905,64786
01003010906,66395
01003011000,62840
01003011101,81387
01003011102,73128
01003011201,116637
01003011202,75921
01003011300,102523
01003011401,56946
01003011403,69798
01003011405,101624
01003011406,75415
01003011407,62167
01003011408,69513
01003011501,58253
01003011502,51941
01003011601,56269
01003011602,63543
01003990000,-
01005950100,59485
01005950200,45916
01005950300,54212
01005950400,46936
01005950500,62527
01005950600,43990
01005950700,66246
01005950800,68410
01005950900,41605
01007010001,47790
01007010002,64936
01007010003,52262
01007010004,46220
01009050101,60721
01009050102,60377
01009050200,59951
01009050300,60063
01009050400,51969
01009050500,60971
01009050601,66212
01009050602,75468
01009050700,65815
01011952100,50164
01011952200,55190
01011952500,73283
01013952700,54469
01013952800,71916
01013952900,58310
01013953000,51437
01013953100,33212
01013953200,56245
01013953300,47096
01013953400,37025
01013953500,47068
01015000200,44335
01015000300,35107
01015000400,48663
01015000500,33588
01015000600,29586
01015000700,42581
01015000800,52015
01015000900,103301
01015001000,84917
01015001100,76288
01015001201,49641
01015001202,84364
01015001300,43724
01015001400,50711
01015001500,56411
01015001600,41449
01015001700,78115
01015001800,49348
01015002000,65349
01015002101,34873
01015002102,84636
01015002103,56768
01015002200,55453
01015002300,47259
01015002400,68788
01015002501,63777
01015002502,62839
01015002600,61023
01015981901,-
01015981902,N
01015981903,-
01017953800,48296
01017953900,51046
01017954000,52270
01017954200,55738
01017954300,61642
01017954400,22739
01017954500,40718
01017954600,59161
01017954700,53230
01019955701,68611
01019955702,50340
01019955800,59881
01019955900,63665
01019956000,70474
01019956100,52867
01021060101,55797
01021060102,59769
01021060200,68053
